ID,NAME,TYPE,BRAND,MANUFACTURE YEAR,BOUGHT PRICE,SELL PRICE,FROM_COUNTRY,QUANTITY,DESCRIPTION,IMAGE
1,Bentley Bentayga Mulliner AWD 2018,Bentley Bentayga,BENTLEY,2018,288000,300725,CHINA,9,"Loại động cơ: Twin Turbo Premium Unleaded W-12
Dung tích xi lanh: 6.0 L/363
Hệ thống xăng: Port/Direct Injection
Công suất Mã lực @ RPM: 600 @ 5000",https://www.carcomparing.com/store/carsubmodel/8322.jpg
2,Bentley Bentayga W12 Signature AWD 2018,Bentley Bentayga,BENTLEY,2018,222000,231825,England,10,"Loại động cơ: Twin Turbo Premium Unleaded W-12
Dung tích xi lanh: 6.0 L/363
Hệ thống xăng: Port/Direct Injection
Công suất Mã lực @ RPM: 600 @ 5000",https://www.carcomparing.com/store/carsubmodel/8322.jpg
3,2017 Bentayga W12 First Edition AWD,Bentley Bentayga,BENTLEY,2017,279000,300250,England,9,"Loại động cơ: Twin Turbo Premium Unleaded W-12
Dung tích xi lanh: 6.0 L/363
Hệ thống xăng: Port/Direct Injection
Công suất Mã lực @ RPM: 600 @ 5000",https://www.carcomparing.com/store/carsubmodel/4903.jpg
4,Bentley Bentayga W12 AWD 2017,Bentley Bentayga,BENTLEY,2017,225125,235000,England,10,"Loại động cơ: Twin Turbo Premium Unleaded W-12
Dung tích xi lanh: 6.0 L/363
Hệ thống xăng: Port/Direct Injection
Công suất Mã lực @ RPM: 600 @ 5000",https://www.carcomparing.com/store/carsubmodel/4903.jpg
5,Bentley Continental GT Convertible 2018,Bentley Continental,BENTLEY,2018,215000,230000,England,8,"Loại động cơ: Twin Turbo Premium Unleaded W-12
Dung tích xi lanh: 6.0 L/366
Hệ thống xăng: Sequential MPI
Công suất Mã lực @ RPM: 582 @ 6100",https://www.carcomparing.com/store/carsubmodel/8466.jpg
6,Bentley Continental GT V8 Convertible 2017,Bentley Continental,BENTLEY,2017,211000,220000,England,7,"Loại động cơ: Twin Turbo Premium Unleaded V-8
Dung tích xi lanh: 4.0 L/244
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 500 @ 6000",https://www.carcomparing.com/store/carsubmodel/8092.jpg
7,Bentley Continental GT 2dr Conv V8 S 2016,Bentley Continental,BENTLEY,2016,218000,234500,England,8,"Loại động cơ: Twin Turbo Premium Unleaded V-8
Dung tích xi lanh: 4.0 L/244
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 500 @ 6000",https://www.carcomparing.com/store/carsubmodel/7392.jpg
8,Bentley Continental GT V8 2dr Conv 2015,Bentley Continental,BENTLEY,2015,203000,215225,England,8,"Loại động cơ: Twin Turbo Premium Unleaded V-8
Dung tích xi lanh: 4.0 L/244
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 500 @ 6000",https://www.carcomparing.com/store/carsubmodel/5844.jpg
9,Bentley Flying Spur V8 Sedan 2018,Bentley Flying,BENTLEY,2018,180000,181275,England,10,"Loại động cơ: Twin Turbo Premium Unleaded V-8
Dung tích xi lanh: 4.0 L/244
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 500 @ 6000",https://www.carcomparing.com/store/carsubmodel/8323.jpg
10,2017 Flying Spur V8 S Sedan,Bentley Flying,BENTLEY,2017,199000,207175,England,8,"Loại động cơ: Twin Turbo Premium Unleaded V-8
Dung tích xi lanh: 4.0 L/244
Hệ thống xăng: Gasoline Direct Injection
Công suất Mã lực @ RPM: 521 @ 6000",https://www.carcomparing.com/store/carsubmodel/7936.jpg
11,Lexus ES 300h FWD 2018,Lexus ES,Lexus,2018,39875,42815,Japan,9,"Loại động cơ: Gas/Electric I-4
Dung tích xi lanh: 2.5 L/152
Hệ thống xăng: Sequential MPI
Công suất Mã lực @ RPM: 200 @ 5700",https://www.carcomparing.com/store/carsubmodel/8408.jpg
12,Lexus ES 350 FWD 2018,Lexus ES,Lexus,2018,37935,39875,Japan,6,"Loại động cơ: Regular Unleaded V-6
Dung tích xi lanh: 3.5 L/211
Hệ thống xăng: Sequential MPI
Công suất Mã lực @ RPM: 268 @ 6200",https://www.carcomparing.com/store/carsubmodel/8407.jpg
13,Lexus ES 350 FWD 2017,Lexus ES,Lexus,2017,37000,39893,Japan,9,"Loại động cơ: Regular Unleaded V-6
Dung tích xi lanh: 3.5 L/211
Hệ thống xăng: Sequential MPI
Công suất Mã lực @ RPM: 268 @ 6200",https://www.carcomparing.com/store/carsubmodel/7862.jpg
14,Lexus GS 350 AWD 2018,Lexus GS,Lexus,2018,48200,51360,Japanese,6,"Loại động cơ: Gas/Electric V-6
Dung tích xi lanh: 3.5 L/211
Hệ thống xăng: Port/Direct Injection
Công suất Mã lực @ RPM: 338 @ 6000",https://www.carcomparing.com/store/carsubmodel/8458.jpg
15,Lexus GS 450h RWD 2017,Lexus GS,Lexus,2017,61375,64630,Japanese,10,"Loại động cơ: Premium Unleaded V-8
Dung tích xi lanh: 5.0 L/303
Hệ thống xăng: Port/Direct Injection
Công suất Mã lực @ RPM: 467 @ 7100",https://www.carcomparing.com/store/carsubmodel/7928.jpg
16,Lexus GS 200t 4dr Sdn RWD 2016,Lexus GS,Lexus,2016,44950,46590,Japanese,5,"Loại động cơ: Premium Unleaded V-8
Dung tích xi lanh: 5.0 L/303
Hệ thống xăng: Port/Direct Injection
Công suất Mã lực @ RPM: 467 @ 7100",https://www.carcomparing.com/store/carsubmodel/7328.jpg
17,Lexus GS F RWD 2019,Lexus GS F,Lexus,2019,81075,"85,345",Japanese,10,"Loại động cơ: Premium Unleaded V-8
Dung tích xi lanh: 5.0 L/303
Hệ thống xăng: Port/Direct Injection
Công suất Mã lực @ RPM: 467 @ 7100",https://hips.hearstapps.com/amv-prod-cad-assets.s3.amazonaws.com/vdat/submodels/lexus_gs-f_lexus-gs-f_2019-1557512101277.jpg
